"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1557";"Паркомат № 2123";"282084320";"Центральный административный округ";"район Арбат";"Большой Ржевский переулок";"Большой Ржевский переулок, напротив дома 5";"37.591536060188";"55.753839981176";"2102";"{type=Point, coordinates=[37.5915360906058, 55.7538396126122]}";
"1558";"Паркомат № 2124";"282084321";"Центральный административный округ";"район Арбат";"Борисоглебский переулок";"Борисоглебский переулок, дом 6";"37.589808271689";"55.754131090862";"2102";"{type=Point, coordinates=[37.5898083026131, 55.7541307226152]}";
"1559";"Паркомат № 2126";"282084322";"Центральный административный округ";"район Хамовники";"Бутиковский переулок";"Бутиковский переулок, дом 16, строение 1";"37.601585652779";"55.737940779419";"2101";"{type=Point, coordinates=[37.6015856835362, 55.7379404105093]}";
"1560";"Паркомат № 2127";"282084323";"Центральный административный округ";"район Хамовники";"Всеволожский переулок";"Всеволожский переулок, напротив дома 3";"37.598981932541";"55.742602356883";"2101";"{type=Point, coordinates=[37.5989819635552, 55.7426019885393]}";
"1561";"Паркомат № 2128";"282084324";"Центральный административный округ";"Пресненский район";"Брюсов переулок";"Брюсов переулок, дом 2/14";"37.605418";"55.757538";"0303";"{type=Point, coordinates=[37.6054180305593, 55.7575376316246]}";
"1562";"Паркомат № 2129";"282084325";"Центральный административный округ";"район Хамовники";"Денежный переулок";"Денежный переулок, дом 4";"37.5875383";"55.7441698";"2101";"{type=Point, coordinates=[37.587538330602, 55.7441694315568]}";
"1563";"Паркомат № 2130";"282084326";"Центральный административный округ";"Пресненский район";"1-й Красногвардейский проезд";"1-й Красногвардейский проезд, дом 9";"37.542788";"55.752713";"0303";"{type=Point, coordinates=[37.542788030498, 55.7527126316406]}";
"1564";"Паркомат № 2132";"282084327";"Центральный административный округ";"район Хамовники";"Еропкинский переулок";"Еропкинский переулок, дом 1";"37.59488569266";"55.739175168579";"2101";"{type=Point, coordinates=[37.5948857235641, 55.7391748005216]}";
"1565";"Паркомат № 2134";"282084328";"Центральный административный округ";"район Арбат";"Староконюшенный переулок";"Староконюшенный переулок, дом 32";"37.594732";"55.7494734";"2102";"{type=Point, coordinates=[37.5947320305849, 55.7494730315837]}";
"1566";"Паркомат № 2135";"282084330";"Центральный административный округ";"район Арбат";"переулок Каменная Слобода";"переулок Каменная Слобода, напротив дома 7";"37.584478449074";"55.749890665139";"2102";"{type=Point, coordinates=[37.5844784796252, 55.7498902965934]}";
"1567";"Паркомат № 2136";"282084331";"Центральный административный округ";"район Арбат";"Карманицкий переулок";"Карманицкий переулок, дом 1/3";"37.5874472";"55.7496787";"2102";"{type=Point, coordinates=[37.5874472306133, 55.74967833159]}";
"1568";"Паркомат № 2137";"282084332";"Центральный административный округ";"район Арбат";"Кривоарбатский переулок";"Кривоарбатский переулок, дом 11";"37.590719661954";"55.748227797767";"2102";"{type=Point, coordinates=[37.5907196925979, 55.748227429579]}";
"1569";"Паркомат № 2138";"282084333";"Центральный административный округ";"район Хамовники";"Померанцев переулок";"Померанцев переулок, дом 3";"37.5941903";"55.7384987";"2101";"{type=Point, coordinates=[37.5941903305654, 55.738498331518]}";
